Motiviert wurden sie jedoch durch die Ereignisse im Nahen Osten - durch Irak und Palästina -, und deshalb sollten wir in Bezug auf die Ereignisse im Nahen Osten auch bedenken, dass sie nicht nur die Menschen dort betreffen, sondern auch Menschen in unseren Heimatländern.	However, they were motivated by events in the Middle East - by Iraq and by Palestine - and therefore it is proper that we should not only consider the events in the Middle East as they affect the people there but also people in our own territories.
Herr Präsident, meine Damen und Herren, liebe Kolleginnen und Kollegen! Das dritte Mehrjahresprogramm der Europäischen Union ist ein Eckpfeiler der Politik für kleine und mittlere Unternehmen, und deswegen ist der Bericht Rübig ausgesprochen wichtig.	Mr President, ladies and gentlemen, the Third Multiannual Programme of the European Union is a cornerstone of our policy for SMEs and that is why Mr Rübig's report is terribly important.
Erklärungen der Präsidentin	Statements by the President
Ich stimme dem Berichterstatter zu, dass wir engere Bindungen im Rahmen einer wirtschaftlichen und kulturellen Zusammenarbeit mit Lateinamerika brauchen, und ich möchte die diesbezüglich maßgebende Rolle der Beziehungen zu Brasilien hervorheben, einem zentralen Akteur in diesem Partnerschaftsprozess.	I agree with the rapporteur that we need closer ties in terms of economic and cultural cooperation with Latin America and I would highlight the vital role in this regard of relations with Brazil, an essential player in this partnership process.
Ehrlich gesagt, ich verstehe die Antwort teilweise nicht.	To be honest there are certain parts of the answer which I do not understand.
Das ist aber auch die Grenze des Hinnehmbaren, und selbst die kostet einige Überwindung, denn auch die sicherheitstechnischen Nachrüstungen begünstigen strukturell den Weiterbetrieb der gefährlichen Atomanlagen.	That is the most we can possibly accept, and even that demands something of an effort from us, because in structural terms, even safety upgrades are an incentive to keep dangerous nuclear plants in service.
Ich hoffe daher, dass diese Richtlinie und der Aktionsplan zu einer Erhöhung der Anzahl der Organspender in der Europäischen Union führen werden, damit Patienten nicht mehr auf Wartelisten enden.	I hope, therefore, that this directive and action plan will result in an increase in the number of organ donors in the European Union, so that patients no longer need to end up on waiting lists.
In diesem Dokument wird also mutig darauf verwiesen, dass das Transparenz- und Wettbewerbsniveau im Energiesektor erhöht werden muss und gleichzeitig der Verbraucher vor den Folgen eines abgeschotteten Marktes wirksam zu schützen ist.	This document therefore courageously identifies the need to increase the level of transparency and competition within the energy sector, while effectively protecting the consumer from the consequences of a closed market.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute' s silence)
Im Absatz 11 sollten die „vier“ Grenzübergänge in „fünf“ geändert werden, denn das entspricht dem heutigen Stand.	Paragraph 11 should read 'five' crossing points instead of 'four', because that would bring us up to date with the facts as they are today.
In diesen Kompromißänderungsanträgen ist eine neue Bereitschaft zur Annäherung an die Position des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherschutz im Hinblick auf Feuchtgebiete, Mitwirkung der Öffentlichkeit, Überwachung der Meeresumwelt und Gasspeicher erkennbar.	These compromise amendments show a new willingness to move towards the Environment Committee's position on wetlands, public participation, marine monitoring and underground gas storage.
Am Vorabend der Regierungskonferenz von Amsterdam, um die wir die europäischen Bürger zu sammeln versuchen wollen, liefert das Programm SOKRATES einen beispielhaften Beweis für ein europäisches Aufbauwerk im Dienste der Menschen.	On the eve of the Amsterdam European Council, which we are trying to involve all European citizens in, Socrates will be an exemplary demonstration of European construction at the service of individuals.
Dies hat übrigens derartige Ausmaße angenommen, daß die Mitgliedstaaten 1995 selbst beschlossen haben, das System der Ausgleichsentschädigungen zugunsten der Sardinen nicht zu verlängern. Der Grund dafür besteht eben genau darin, daß auf der Ebene der Akteure und der Mitgliedstaaten keinerlei politischer Wille mehr dazu vorhanden ist, diesen Sektor, nach all dem, was man bereits getan hat, im Vergleich zu den anderen weiter zu bevorzugen.	It is also the case that in 1995 the Member States themselves decided not to extend the procedure for awarding carry-over payments in favour of the sardine industry, precisely because the operators and the Member States no longer wished to favour this sector over others, in view of everything that had been done already.
Ich kann nicht vergessen, dass sich auch andere Orte, die dem Feiern und der Freude vorbehalten waren, allzu oft in Orte der Unglücks und der Trauer verwandeln, weil nicht die erforderlichen Sicherheitsvorkehrungen getroffen wurden.	I should not forget that many places, where joyful celebrations are also held, are all too often transformed by sadness and mourning, due to a lack of adequate safety measures.
Diese Sanktionen müssten weit mehr als die Frage der Olympischen Spiele beinhalten, obgleich sich die Länder des Ostblocks aus Anlass der Spiele in Moskau anders verhalten haben.	Such sanctions must go much further than the question of the Olympics, even though the Eastern Bloc countries behaved differently on the occasion of the Moscow Games.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute' s silence)
Die Präsidentin.	President.
Liebe Kolleginnen und Kollegen, ebenso wie Sie hätte auch ich mir gewünscht, dass wir unsere erste Sitzungsperiode des Jahres eröffnen können, ohne neue Opfer der ETA-Terroristen beklagen zu müssen.	Ladies and gentlemen, I had wished, as everyone had, that we would be able to open our first part-session of the year without having to mention further victims of ETA terrorism.
